theta,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
-0.01,1108,1472,504,668,1200,1584,1108,1488,1100,1468,1004,1336
-0.02,1088,1446,1008,1336,1196,1564,1100,1478,1100,1460,1098.4,1456.8
-0.03,1068,1420,972,1284,1194,1554,1092,1468,1082,1432,1081.6,1431.6
-0.04,1028,1356,954,1260,1192,1544,1070,1436,1064,1404,1061.6,1400
-0.05,1013.33333,1334.66667,936,1236,1164,1500,1048,1404,1046,1376,1041.46667,1370.13333
-0.06,998.666667,1313.33333,920,1210,1154,1476,1008,1340,1028,1348,1021.73333,1337.46667
-0.07,984,1292,904,1184,1144,1452,986,1308,1002,1312,1004,1309.6
-0.08,964,1262,884,1160,1128,1426,964,1276,976,1276,983.2,1280
-0.09,944,1232,864,1136,1112,1400,949.333333,1278.66667,960,1246,965.866667,1258.53333
-0.1,930,1206,850,1112,1092,1374,934.666667,1281.33333,944,1216,950.133333,1237.86667
-0.11,916,1180,836,1088,1072,1348,920,1284,924,1188,933.6,1217.6
-0.12,894,1188,824,1062,1058,1318,900,1216,904,1160,916,1188.8
-0.13,872,1196,812,1036,1044,1288,880,1148,892,1142.66667,900,1162.13333
-0.14,862.666667,1156,800,1018,1026,1262,864,1124,880,1125.33333,886.533333,1137.06667
-0.15,853.333333,1116,788,1000,1008,1236,848,1100,868,1108,873.066667,1112
-0.16,844,1076,778,984,997.333333,1220,830,1074,852,1086,860.266667,1088
-0.17,832,1056,768,968,986.666667,1204,812,1048,836,1064,846.933333,1068
-0.18,820,1036,756,950,976,1188,802,1028,826,1042,836,1048.8
-0.19,808,1018,744,932,968,1164,792,1008,816,1020,825.6,1028.4
-0.2,796,1000,742.666667,921.333333,960,1140,786.666667,994.666667,804,998,817.866667,1010.8
-0.21,790,982,741.333333,910.666667,946,1122,781.333333,981.333333,792,976,810.133333,994.4
-0.22,784,964,740,900,932,1104,776,968,786.666667,964,803.733333,980
-0.23,778,950,734,886,920,1086,766,950,781.333333,952,795.866667,964.8
-0.24,772,936,728,872,908,1068,756,932,776,940,788,949.6
-0.25,766.666667,928,724,860,900,1050,748,918,766,924,780.933333,936
-0.26,761.333333,920,720,848,892,1032,740,904,756,908,773.866667,922.4
-0.27,756,912,716,841.333333,884,1014,734.666667,894.666667,750,892,768.133333,910.8
-0.28,752,900,712,834.666667,876,996,729.333333,885.333333,744,876,762.666667,898.4
-0.29,748,888,708,828,870.666667,986.666667,724,876,740,868,758.133333,889.333333
-0.3,744,876,706,818,865.333333,977.333333,722,864,736,860,754.666667,879.066667
-0.31,740,864,704,808,860,968,720,852,732,852,751.2,868.8
-0.32,740,852,704,800,854,958,710,840,728,844,747.2,858.8
-0.33,740,840,704,792,848,948,700,828,724,836,743.2,848.8
-0.34,737.333333,834.666667,703.2,785.6,845.6,938.4,697.6,818.4,721,824,740.946667,840.213333
-0.35,734.666667,829.333333,702.4,779.2,843.2,928.8,695.2,808.8,718,812,738.693333,831.626667
-0.36,732,824,701.6,772.8,840.8,919.2,692.8,799.2,715,800,736.44,823.04
-0.37,732,816,700.8,766.4,838.4,909.6,690.4,789.6,712,788,734.72,813.92
-0.38,732,808,700,760,836,900,688,780,710.666667,784,733.333333,806.4
-0.39,732,800,700,754,834,894,686,770,709.333333,780,732.266667,799.6
-0.4,732,792,700,748,832,888,684,760,708,776,731.2,792.8
-0.41,734,788,704,744,834,882,680,750,706,766,731.6,786
-0.42,736,784,708,740,836,876,676,740,704,756,732,779.2
-0.43,737.333333,780,712,734,838.666667,889.333333,676,734.666667,704,748,733.6,777.2
-0.44,738.666667,776,716,728,841.333333,902.666667,676,729.333333,704,740,735.2,775.2
-0.45,740,772,718.4,725.6,844,916,676,724,712,736,738.08,774.72
-0.46,741.6,768.8,720.8,723.2,847,899,678.4,719.2,720,732,741.56,768.44
-0.47,743.2,765.6,723.2,720.8,850,882,680.8,714.4,717.333333,726.666667,742.906667,761.893333
-0.48,744.8,762.4,725.6,718.4,853,865,683.2,709.6,714.666667,721.333333,744.253333,755.346667
-0.49,746.4,759.2,728,716,856,848,685.6,704.8,712,716,745.6,748.8
-0.5,748,756,732,712,860,846,688,700,716,714,748.8,745.6
-0.51,756,748,736,708,864,844,692,698,720,712,753.6,742
-0.52,762.666667,748,740,708,869.333333,844,696,696,726,708,758.8,740.8
-0.53,769.333333,748,744,708,874.666667,844,701.333333,694.666667,732,704,764.266667,739.733333
-0.54,776,748,754,706,880,844,706.666667,693.333333,736,700,770.533333,738.266667
-0.55,782,746,764,704,886,844,712,692,740,696,776.8,736.4
-0.56,788,744,771.2,705.6,892,844,719,691,745,696,783.04,736.12
-0.57,794.666667,742.666667,778.4,707.2,904,846,726,690,750,696,790.613333,736.373333
-0.58,801.333333,741.333333,785.6,708.8,916,848,733,689,755,696,798.186667,736.626667
-0.59,808,740,792.8,710.4,921.333333,848,740,688,760,696,804.426667,736.48
-0.6,812,742,800,712,926.666667,848,745.333333,689.333333,769.333333,697.333333,810.666667,737.733333
-0.61,816,744,808,716,932,848,750.666667,690.666667,778.666667,698.666667,817.066667,739.466667
-0.62,826,748,816,720,942,852,756,692,788,700,825.6,742.4
-0.63,836,752,828,724,952,856,768,692,836,704,844,745.6
-0.64,844,752,840,728,964,860,780,692,884,708,862.4,748
-0.65,852,752,850,734,976,864,784,693.333333,854,710,863.2,750.666667
-0.66,860,784,860,740,986,868,788,694.666667,824,712,863.6,759.733333
-0.67,868,816,872,744,996,872,792,696,836,740,872.8,773.6
-0.68,876,848,884,748,1009,878,803,700,848,768,884,788.4
-0.69,889,830,901,755,1022,884,814,704,856,756,896.4,785.8
-0.7,902,812,918,762,1035,890,825,708,864,744,908.8,783.2
-0.71,915,794,935,769,1048,896,836,712,872,732,921.2,780.6
-0.72,928,776,952,776,1064,902,842.666667,714.666667,888,738,934.933333,781.333333
-0.73,944,782,966,788,1080,908,849.333333,717.333333,904,744,948.666667,787.866667
-0.74,960,788,980,800,1093.33333,913.333333,856,720,922,754,962.266667,795.066667
-0.75,972,794.666667,997.333333,805.333333,1106.66667,918.666667,872,726,940,764,977.6,801.733333
-0.76,984,801.333333,1014.66667,810.666667,1120,924,888,732,954.666667,772,992.266667,808
-0.77,996,808,1032,816,1140,934,908,762,969.333333,780,1009.06667,820
-0.78,1010,860,1046,826,1160,944,928,792,984,788,1025.6,842
-0.79,1024,912,1060,836,1176,954,944,776,1002,794,1041.2,854.4
-0.8,1046,880,1080,846,1192,964,960,760,1020,800,1059.6,850
-0.81,1068,848,1100,856,1212.8,974.4,978,770,1036.8,809.6,1079.12,851.6
