theta,Left_1,Left_2,Left_3,Left_4,Left_5,Right_1,Right_2,Right_3,Right_4,Right_5,Left_avg,Right_avg,Difference
-0.46,6132,6112,6649,5859.5,5859.5,6072,6043.55556,6649,5786.5,5786.5,6122.4,6067.51111,54.8888889
-0.46,6036,6120,6642,5862,5862,6052,6036.44444,6634,5774,5774,6104.4,6054.08889,50.3111111
-0.47,6035.2,6128,6635,5864.5,5864.5,6045.6,6029.33333,6619,5761.5,5761.5,6105.44,6043.38667,62.0533333
-0.48,6034.4,6136,6628,5867,5867,6039.2,6022.22222,6604,5749,5749,6106.48,6032.68444,73.7955556
-0.49,6033.6,6144,6616,5869.5,5869.5,6032.8,6015.11111,6564,5736.5,5736.5,6106.52,6016.98222,89.5377778
-0.5,6032.8,6152,6626.4,5872,5872,6026.4,6008,6560,5724,5724,6111.04,6008.48,102.56
-0.51,6032,6152,6636.8,6008,6008,6020,5972,6556,6076,6076,6167.36,6140,27.36
-0.51,6004,6181,6647.2,5996,5996,6304,5966,6552,5995,5995,6164.84,6162.4,2.44
-0.52,6012,6210,6657.6,5984,5984,6214,5960,6548,5914,5914,6169.52,6110,59.52
-0.53,6020,6239,6668,5972,5972,6124,5954,6544,5833,5833,6174.2,6057.6,116.6
-0.54,6028,6268,6524,5960,5960,6034,5948,6588,5752,5752,6148,6014.8,133.2
-0.55,6036,6304,6575,6028,6028,5944,5960,6580,5712,5712,6194.2,5981.6,212.6
-0.55,6064,6311,6626,6039,6039,5928,5975,6572,5734,5734,6215.8,5988.6,227.2
-0.56,6066,6318,6677,6050,6050,5926,5990,6564,5756,5756,6232.2,5998.4,233.8
-0.57,6068,6325,6728,6061,6061,5924,6005,6556,5778,5778,6248.6,6008.2,240.4
-0.58,6070,6332,6728,6072,6072,5922,6020,6508,5800,5800,6254.8,6010,244.8
-0.59,6072,6476,6750.4,6148,6148,5920,6008,6520,5816,5816,6318.88,6016,302.88
-0.59,6112,6489,6772.8,6153.6,6153.6,5920,6019,6532,5841.6,5841.6,6336.2,6030.84,305.36
-0.6,6121,6502,6795.2,6159.2,6159.2,5918,6030,6544,5867.2,5867.2,6347.32,6045.28,302.04
-0.61,6130,6515,6817.6,6164.8,6164.8,5916,6041,6556,5892.8,5892.8,6358.44,6059.72,298.72
-0.62,6139,6528,6840,6170.4,6170.4,5914,6052,6568,5918.4,5918.4,6369.56,6074.16,295.4
-0.63,6148,6544,7016,6176,6176,5912,6080,6956,5944,5944,6412,6167.2,244.8
-0.63,6280,6584.8,7050,6464,6464,5968,6091.2,6869,5932,5932,6568.56,6158.44,410.12
-0.64,6281,6625.6,7084,6464,6464,5966,6102.4,6782,5943,5943,6583.72,6147.28,436.44
-0.65,6282,6666.4,7118,6464,6464,5964,6113.6,6695,5954,5954,6598.88,6136.12,462.76
-0.66,6283,6707.2,7152,6464,6464,5962,6124.8,6608,5965,5965,6614.04,6124.96,489.08
-0.67,6284,6748,6992,6464,6464,5960,6136,7060,5976,5976,6590.4,6221.6,368.8
-0.67,6372,6796,7048,6576,6576,5996,6188,7000.8,6040,6040,6673.6,6252.96,420.64
-0.68,6435,6823.2,7104,6605.6,6605.6,6012,6211.2,6941.6,6053.6,6053.6,6714.68,6254.4,460.28
-0.69,6498,6850.4,7160,6635.2,6635.2,6028,6234.4,6882.4,6067.2,6067.2,6755.76,6255.84,499.92
-0.7,6561,6877.6,7216,6664.8,6664.8,6044,6257.6,6823.2,6080.8,6080.8,6796.84,6257.28,539.56
-0.71,6624,6904.8,7272,6694.4,6694.4,6060,6280.8,6764,6094.4,6094.4,6837.92,6258.72,579.2
-0.71,6552,6932,7336,6724,6724,6088,6304,6624,6108,6108,6853.6,6246.4,607.2
-0.72,6567,7216,7391,6900,6900,6088,6380,6691,6216,6216,6994.8,6318.2,676.6
-0.73,6582,7241,7446,6938.4,6938.4,6088,6417,6758,6243.2,6243.2,7029.16,6349.88,679.28
-0.74,6597,7266,7501,6976.8,6976.8,6088,6454,6825,6270.4,6270.4,7063.52,6381.56,681.96
-0.75,6612,7291,7556,7015.2,7015.2,6088,6491,6892,6297.6,6297.6,7097.88,6413.24,684.64
-0.75,6828,7316,7716,7053.6,7053.6,6888,6528,7016,6324.8,6324.8,7193.44,6616.32,577.12
-0.76,6862,7500,7795.11111,7092,7092,6746,6636,7035.55556,6352,6352,7268.22222,6624.31111,643.911111
-0.77,6896,7516,7874.22222,7288,7288,6604,6677,7055.11111,6392,6392,7372.44444,6624.02222,748.422222
-0.78,6930,7532,7953.33333,7370.66667,7370.66667,6462,6718,7074.66667,6442.22222,6442.22222,7431.33333,6627.82222,803.511111
-0.79,6964,7548,8032.44444,7453.33333,7453.33333,6320,6759,7094.22222,6492.44444,6492.44444,7490.22222,6631.62222,858.6
-0.79,7112,7564,8111.55556,7536,7536,6332,6800,7113.77778,6542.66667,6542.66667,7571.91111,6666.22222,905.688889
-0.8,7182.5,9036,8190.66667,7618.66667,7618.66667,6385.5,6932,7133.33333,6592.88889,6592.88889,7929.3,6727.32222,1201.97778
-0.81,7253,8888,8269.77778,7701.33333,7701.33333,6439,6969.6,7152.88889,6643.11111,6643.11111,7962.68889,6769.54222,1193.14667
-0.82,7323.5,8740,8348.88889,7784,7784,6492.5,7007.2,7172.44444,6693.33333,6693.33333,7996.07778,6811.76222,1184.31556
-0.83,7394,8592,8428,7866.66667,7866.66667,6546,7044.8,7192,6743.55556,6743.55556,8029.46667,6853.98222,1175.48444
-0.84,7464.5,8444,8696,7949.33333,7949.33333,6599.5,7082.4,7592,6793.77778,6793.77778,8100.63333,6972.29111,1128.34222
-0.85,7535,8296,8745,8032,8032,6653,7120,7616,6844,6844,8128,7015.4,1112.6
-0.86,7605.5,8636,8794,8532,8532,6706.5,7344,7640,7108,7108,8419.9,7181.3,1238.6
-0.87,7676,8744,8843,8597,8597,6760,7406,7664,7174,7174,8491.4,7235.6,1255.8
-0.87,7904,8852,8892,8662,8662,6900,7468,7688,7240,7240,8594.4,7307.2,1287.2
-0.88,7999,8960,9324,8727,8727,6945,7530,7928,7306,7306,8747.4,7403,1344.4
-0.89,8094,9068,9491.11111,8792,8792,6990,7592,8018.22222,7372,7372,8847.42222,7468.84444,1378.57778
-0.9,8189,9488,9658.22222,9156,9156,7035,7768,8108.44444,7568,7568,9129.44444,7609.48889,1519.95556
-0.91,8284,9700.8,9825.33333,9306.4,9306.4,7080,7894.4,8198.66667,7640,7640,9284.58667,7690.61333,1593.97333
-0.91,8508,9913.6,9992.44444,9456.8,9456.8,7256,8020.8,8288.88889,7712,7712,9465.52889,7797.93778,1667.59111
-0.92,8570.4,10126.4,10159.5556,9607.2,9607.2,7312.8,8147.2,8379.11111,7784,7784,9614.15111,7881.42222,1732.72889
-0.93,8632.8,10339.2,10326.6667,9757.6,9757.6,7369.6,8273.6,8469.33333,7856,7856,9762.77333,7964.90667,1797.86667
-0.94,8695.2,10552,10493.7778,9908,9908,7426.4,8400,8559.55556,7928,7928,9911.39556,8048.39111,1863.00444
-0.95,8757.6,10764.8,10660.8889,10100,10100,7483.2,8526.4,8649.77778,8120,8120,10076.6578,8179.87556,1896.78222
-0.96,8820,10977.6,10828,10305,10305,7540,8652.8,8740,8248,8248,10247.12,8285.76,1961.36
-0.96,9368,11190.4,11300,10510,10510,7804,8779.2,9172,8376,8376,10575.68,8501.44,2074.24
-0.97,9467,11403.2,11401,10715,10715,7873,8905.6,9265,8504,8504,10740.24,8610.32,2129.92
-0.98,9566,11616,11502,10920,10920,7942,9032,9358,8632,8632,10904.8,8719.2,2185.6
-0.99,9665,12528,11603,11804,11804,8011,9688,9451,9184,9184,11480.8,9103.6,2377.2
-1,9764,12827.2,11704,12035.2,12035.2,8080,9810.4,9544,9296.8,9296.8,11673.12,9205.6,2467.52
