theta,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
-0.32,6876,7564,6816,7374,7104,7552,6800,7376,6950,7374,6909.2,7448
-0.33,6844,7372,6728,7280,7032,7512,6804,7216,6876,7308,6856.8,7337.6
-0.34,6812,7180,6684,7163,6960,7472,6808,7056,6831,7247,6819,7223.6
-0.35,6736,7170,6640,7046,6894,7382,6750,6994,6786,7186,6761.2,7155.6
-0.36,6660,7160,6596,6929,6828,7292,6692,6932,6741,7125,6703.4,7087.6
-0.37,6570,7062,6552,6812,6796,7138,6666.66667,6924,6696,7064,6656.13333,7000
-0.38,6480,6964,6529.33333,6760,6764,6984,6641.33333,6916,6668,6973.33333,6616.53333,6919.46667
-0.39,6439.2,6902.4,6506.66667,6708,6700,6988,6616,6908,6640,6882.66667,6580.37333,6877.81333
-0.4,6398.4,6840.8,6484,6656,6636,6992,6606.66667,6797.33333,6612,6792,6547.41333,6815.62667
-0.41,6357.6,6779.2,6820,6648,6626.66667,6888,6597.33333,6686.66667,6582,6700,6596.72,6740.37333
-0.42,6316.8,6717.6,7156,6640,6617.33333,6784,6588,6576,6552,6608,6646.02667,6665.12
-0.43,6276,6656,6940,6564,6608,6680,6565.33333,6533.33333,6582,6552,6594.26667,6597.06667
-0.44,6304,6569.33333,6724,6488,6530,6706,6542.66667,6490.66667,6612,6496,6542.53333,6550
-0.45,6332,6482.66667,6508,6412,6452,6732,6520,6448,6566,6500,6475.6,6514.93333
-0.46,6360,6396,6441,6418,6445,6674,6513,6441,6520,6504,6455.8,6486.6
-0.47,6342,6332,6374,6424,6438,6616,6506,6434,6482,6464,6428.4,6454
-0.48,6324,6268,6307,6430,6431,6558,6499,6427,6444,6424,6401,6421.4
-0.49,6272,6248,6240,6436,6424,6500,6492,6420,6440,6388,6373.6,6398.4
-0.5,6220,6228,6242,6360,6413.33333,6530.66667,6458,6390,6436,6352,6353.86667,6372.13333
-0.51,6168,6296,6244,6284,6402.66667,6561.33333,6424,6360,6388,6414,6325.33333,6383.06667
-0.52,6116,6364,6246,6332,6392,6592,6432,6314,6340,6476,6305.2,6415.6
-0.53,6110,6284,6248,6380,6382,6590,6440,6268,6374,6362,6310.8,6376.8
-0.54,6104,6204,6274,6258,6372,6588,6442,6236,6408,6248,6320,6306.8
-0.55,6102.4,6206.4,6300,6136,6366,6552,6444,6204,6393.6,6262.4,6321.2,6272.16
-0.56,6100.8,6208.8,6300.8,6164.8,6360,6516,6454,6259,6379.2,6276.8,6318.96,6285.08
-0.57,6099.2,6211.2,6301.6,6193.6,6373.33333,6472,6464,6314,6364.8,6291.2,6320.58667,6296.4
-0.58,6097.6,6213.6,6302.4,6222.4,6386.66667,6428,6474,6369,6350.4,6305.6,6322.21333,6307.72
-0.59,6096,6216,6303.2,6251.2,6400,6384,6484,6424,6336,6320,6323.84,6319.04
-0.6,6150,6136,6304,6280,6404,6401.33333,6468,6434,6416,6314,6348.4,6313.06667
-0.61,6204,6056,6320,6348,6408,6418.66667,6452,6444,6496,6308,6376,6314.93333
-0.62,6188,6109.33333,6336,6416,6412,6436,6529.33333,6412,6544,6321.33333,6401.86667,6338.93333
-0.63,6172,6162.66667,6400,6382,6436,6440,6606.66667,6380,6592,6334.66667,6441.33333,6339.86667
-0.64,6156,6216,6464,6348,6460,6444,6684,6348,6640,6348,6480.8,6340.8
-0.65,6194,6144,6502.66667,6380,6558,6368,6708,6362,6652,6356,6522.93333,6322
-0.66,6232,6072,6541.33333,6412,6656,6292,6732,6376,6664,6364,6565.06667,6303.2
-0.67,6296,6072,6580,6444,6712,6320,6784,6340,6816,6400,6637.6,6315.2
-0.68,6360,6072,6611,6424,6768,6348,6836,6304,6968,6436,6708.6,6316.8
-0.69,6424,6072,6642,6404,6824,6376,6897,6356,6916,6500,6740.6,6341.6
-0.7,6488,6072,6673,6384,6880,6404,6958,6408,6864,6564,6772.6,6366.4
-0.71,6552,6072,6704,6364,6936,6432,7019,6460,6812,6628,6804.6,6391.2
-0.72,6552,6160,6760,6414,6896,6468,7080,6512,6864,6664,6830.4,6443.6
-0.73,6552,6248,6816,6464,6856,6504,7152,6584,6916,6700,6858.4,6500
-0.74,6572,6277.33333,6838,6468,6888,6568,7224,6656,7016,6734,6907.6,6540.66667
-0.75,6592,6306.66667,6860,6472,6920,6632,7288,6686,7116,6768,6955.2,6572.93333
-0.76,6612,6336,6948,6564,6997.33333,6604,7352,6716,7180,6758.66667,7017.86667,6595.73333
-0.77,6720,6300,7036,6656,7074.66667,6576,7446,6764,7244,6749.33333,7104.13333,6609.06667
-0.78,6828,6264,7094.66667,6692,7152,6548,7540,6812,7308,6740,7184.53333,6611.2
-0.79,6868,6390,7153.33333,6728,7170,6660,7544,6892,7380,6738,7223.06667,6681.6
-0.8,6908,6516,7212,6764,7188,6772,7548,6972,7452,6736,7261.6,6752
-0.81,6972,6528,7278,6791,7268.8,6820.8,7688.8,7023.2,7536,6825.6,7348.72,6797.72
-0.82,7036,6540,7344,6818,7349.6,6869.6,7829.6,7074.4,7620,6915.2,7435.84,6843.44
-0.83,7100,6552,7410,6845,7430.4,6918.4,7970.4,7125.6,7704,7004.8,7522.96,6889.16
-0.84,7164,6564,7476,6872,7511.2,6967.2,8111.2,7176.8,7788,7094.4,7610.08,6934.88
-0.85,7228,6576,7606,6924,7592,7016,8252,7228,7872,7184,7710,6985.6
-0.86,7334,6620,7736,6976,7792,7124,8384,7324,8132,7188,7875.6,7046.4
-0.87,7440,6664,7814,7062,7920,7120,8516,7420,8202.66667,7232,7978.53333,7099.6
-0.88,7452,6776,7892,7148,8048,7116,8672,7520,8273.33333,7276,8067.46667,7167.2
-0.89,7622.66667,6868,8048,7272,8176,7112,8828,7620,8344,7320,8203.73333,7238.4
-0.9,7793.33333,6960,8204,7396,8240,7340,9070,7728,8572,7490,8375.86667,7382.8
-0.91,7964,7052,8420,7358,8304,7568,9312,7836,8800,7660,8560,7494.8
-0.92,8084,7088,8636,7320,8446.4,7655.2,9491.2,7950.4,8960.8,7754.4,8723.68,7553.6
-0.93,8204,7124,8755.2,7468,8588.8,7742.4,9670.4,8064.8,9121.6,7848.8,8868,7649.6
-0.94,8281.33333,7202.66667,8874.4,7616,8731.2,7829.6,9849.6,8179.2,9282.4,7943.2,9003.78667,7754.13333
-0.95,8358.66667,7281.33333,8993.6,7764,8873.6,7916.8,10028.8,8293.6,9443.2,8037.6,9139.57333,7858.66667
-0.96,8436,7360,9112.8,7912,9016,8004,10208,8408,9604,8132,9275.36,7963.2
-0.97,8702,7464,9232,8060,9222,8036,10474,8566,9764,8221.33333,9478.8,8069.46667
-0.98,8968,7568,9520,8096,9428,8068,10740,8724,9924,8310.66667,9716,8153.33333
-0.99,9206,7718,9808,8132,9621.33333,8160,10972,8876,10084,8400,9938.26667,8257.2
-1,9444,7868,10008,8338,9814.66667,8252,11204,9028,10548,8544,10203.7333,8406
-1.01,9601.33333,7985.33333,10208,8544,10008,8344,11436,9180,11012,8688,10453.0667,8548.26667
-1.02,9758.66667,8102.66667,10402.6667,8666.66667,10340,8430,11948,9434,11213.3333,8864,10732.5333,8699.46667
-1.03,9916,8220,10597.3333,8789.33333,10672,8516,12460,9688,11414.6667,9040,11012,8850.66667
-1.04,10242,8422,10792,8912,10797.3333,8725.33333,12736,9884,11616,9216,11236.6667,9031.86667
-1.05,10568,8624,11192,9130,10922.6667,8934.66667,13012,10080,12026,9424,11544.1333,9238.53333
,,,11592,9348,11048,9144,13288,10276,12436,9632,12091,9600
,,,4760,3884,,,,,,,4760,3884
