theta,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
-0.01,10620,13124,10396,12508,10836,12492,10132,11636,5066,6104,9410,11172.8
-0.02,10364,12776,9916,12100,10504,12566,9822,11600,10132,12208,10147.6,12250
-0.03,10108,12428,9834,11886,10172,12640,9512,11564,9920,11990,9909.2,12101.6
-0.04,9664,11700,9752,11672,10056,12352,9406,11276,9708,11772,9717.2,11754.4
-0.05,9592,11544,9566,11386,9940,12064,9300,10988,9628,11402,9605.2,11476.8
-0.06,9520,11388,9380,11100,9849.33333,11790.6667,9080,10292,9548,11032,9475.46667,11120.5333
-0.07,9448,11232,9336,10848,9758.66667,11517.3333,9030,10152,9348,10696,9384.13333,10889.0667
-0.08,9340,10902,9292,10596,9668,11244,8980,10012,9148,10360,9285.6,10622.8
-0.09,9232,10572,9076,10462,9574,10994,8840,9954.66667,9006,10264,9145.6,10449.3333
-0.1,8998,10472,8860,10328,9480,10744,8700,9897.33333,8864,10168,8980.4,10321.8667
-0.11,8764,10372,8802,10008,9216,10522,8560,9840,8750,9950,8818.4,10138.4
-0.12,8653.33333,10210.6667,8744,9688,8952,10300,8548,9554,8636,9732,8706.66667,9896.93333
-0.13,8542.66667,10049.3333,8596,9602,8868,10172,8536,9268,8550.66667,9661.33333,8618.66667,9750.53333
-0.14,8432,9888,8448,9516,8784,10044,8294,9210,8465.33333,9590.66667,8484.66667,9649.73333
-0.15,8370,9640,8302,9466,8700,9788,8052,9152,8380,9520,8360.8,9513.2
-0.16,8308,9392,8156,9416,8616,9532,8040,8868,8252,9244,8274.4,9290.4
-0.17,7996,8980,8036,9188,8382,9394,8028,8584,8124,8968,8113.2,9022.8
-0.18,7934.66667,8910.66667,7916,8960,8148,9256,7840,8596,7978,8926,7963.33333,8929.73333
-0.19,7873.33333,8841.33333,7840,8674,8098,8994,7652,8608,7832,8884,7859.06667,8800.26667
-0.2,7812,8772,7764,8388,8048,8732,7570,8496,7748,8574,7788.4,8592.4
-0.21,7670,8650,7604,8344,7938.66667,8742.66667,7488,8384,7664,8264,7672.93333,8476.93333
-0.22,7528,8528,7444,8300,7829.33333,8753.33333,7460,8156,7628,8220,7577.86667,8391.46667
-0.23,7508,8370.66667,7396,8236,7720,8764,7432,7928,7592,8176,7529.6,8294.93333
-0.24,7488,8213.33333,7348,8172,7624,8580,7362,7844,7556,8132,7475.6,8188.26667
-0.25,7468,8056,7300,8108,7528,8396,7292,7760,7430,8014,7403.6,8066.8
-0.26,7348,7974,7248,8006,7486,8154,7228,7685.33333,7304,7896,7322.8,7943.06667
-0.27,7228,7892,7196,7904,7444,7912,7164,7610.66667,7228,7702,7252,7804.13333
-0.28,7124,8050,7110,7740,7292,7888,7100,7536,7152,7508,7155.6,7744.4
-0.29,7020,8208,7024,7576,7140,7864,7008,7546,7109.33333,7485.33333,7060.26667,7735.86667
-0.3,6972,7993.33333,6964,7522,7128,7760,6916,7556,7066.66667,7462.66667,7009.33333,7658.8
-0.31,6924,7778.66667,6904,7468,7116,7656,6858,7466,7024,7440,6965.2,7561.73333
