theta,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
0,3504,4308,3752,4580,3400,4064,3704,4584,3548,4288,3581.6,4364.8
-0.01,3404,4296,3648,4548,1658,2028,3612,4568,3456,4276,3155.6,3943.2
-0.02,3392,4274,3564,4396,3316,4056,3602,4542,3442,4246,3463.2,4302.8
-0.03,3380,4252,3508,4302,3264,3936,3592,4516,3428,4216,3434.4,4244.4
-0.04,3336,4162,3452,4208,3210,3858,3540,4418,3372,4118,3382,4152.8
-0.05,3292,4072,3394,4120,3156,3780,3488,4320,3316,4020,3329.2,4062.4
-0.06,3230,3982,3336,4032,3110,3708,3424,4220,3252,3928,3270.4,3974
-0.07,3168,3892,3264,3934,3064,3636,3360,4120,3188,3836,3208.8,3883.6
-0.08,3028,3692,3192,3836,3006,3550,3282,4016,3122,3736,3126,3766
-0.09,2990.66667,3634.66667,3130,3748,2948,3464,3204,3912,3056,3636,3065.73333,3678.93333
-0.1,2953.33333,3577.33333,3068,3660,2898,3390,3138,3814,3013.33333,3576,3014.13333,3603.46667
-0.11,2916,3520,3010,3566,2848,3316,3072,3716,2970.66667,3516,2963.33333,3526.8
-0.12,2856,3430,2952,3472,2800,3248,3012,3620,2928,3456,2909.6,3445.2
-0.13,2796,3340,2914.66667,3417.33333,2752,3180,2952,3524,2870,3370,2856.93333,3366.26667
-0.14,2746,3264,2877.33333,3362.66667,2710,3114,2912,3465.33333,2812,3284,2811.46667,3298
-0.15,2696,3188,2840,3308,2668,3048,2872,3406.66667,2758,3206,2766.8,3231.33333
-0.16,2644,3118,2782,3230,2618,2980,2832,3348,2704,3128,2716,3160.8
-0.17,2592,3048,2724,3152,2568,2912,2776,3270,2669.33333,3084,2665.86667,3093.2
-0.18,2554,2988,2680,3086,2528,2854,2720,3192,2634.66667,3040,2623.33333,3032
-0.19,2516,2928,2636,3020,2488,2796,2676,3126,2600,2996,2583.2,2973.2
-0.2,2472,2862,2592,2954,2461.33333,2758.66667,2632,3060,2564,2934,2544.26667,2913.73333
-0.21,2428,2796,2548,2888,2434.66667,2721.33333,2590,2990,2528,2872,2505.73333,2853.46667
-0.22,2390,2742,2510,2832,2408,2684,2548,2920,2486,2810,2468.4,2797.6
-0.23,2352,2688,2472,2776,2374,2632,2524,2885.33333,2444,2748,2433.2,2745.86667
-0.24,2318,2636,2434,2722,2340,2580,2500,2850.66667,2402,2690,2398.8,2695.73333
-0.25,2284,2584,2396,2668,2310,2536,2476,2816,2360,2632,2365.2,2647.2
-0.26,2258.66667,2548,2372,2636,2280,2492,2436,2764,2342.66667,2605.33333,2337.86667,2609.06667
-0.27,2233.33333,2512,2348,2604,2254,2452,2396,2712,2325.33333,2578.66667,2311.33333,2571.73333
-0.28,2208,2476,2324,2572,2228,2412,2366,2664,2308,2552,2286.8,2535.2
-0.29,2172,2422,2300,2536,2209.33333,2384,2336,2616,2282,2510,2259.86667,2493.6
-0.3,2136,2368,2276,2500,2190.66667,2356,2317.33333,2585.33333,2256,2468,2235.2,2455.46667
-0.31,2108,2326,2252,2458,2172,2328,2298.66667,2554.66667,2226,2422,2211.33333,2417.73333
-0.32,2080,2284,2228,2416,2150,2296,2280,2524,2196,2376,2186.8,2379.2
-0.33,2062.4,2256.8,2200,2378,2128,2264,2254,2482,2178.4,2351.2,2164.56,2346.4
-0.34,2044.8,2229.6,2172,2340,2107,2234,2228,2440,2160.8,2326.4,2142.52,2314
-0.35,2027.2,2202.4,2162.66667,2320,2086,2204,2208,2416,2143.2,2301.6,2125.41333,2288.8
-0.36,2009.6,2175.2,2153.33333,2300,2065,2174,2188,2392,2125.6,2276.8,2108.30667,2263.6
-0.37,1992,2148,2144,2280,2044,2144,2168,2368,2108,2252,2091.2,2238.4
-0.38,1978,2120,2126,2252,2040,2129.33333,2148,2330,2092,2222,2076.8,2210.66667
-0.39,1964,2092,2108,2224,2036,2114.66667,2128,2292,2076,2192,2062.4,2182.93333
-0.4,1952,2116,2094,2202,2032,2100,2115,2265,2064,2170,2051.4,2170.6
-0.41,1940,2140,2080,2180,2022,2082,2102,2238,2052,2148,2039.2,2157.6
-0.42,1928,2164,2066,2158,2012,2064,2089,2211,2040,2126,2027,2144.6
-0.43,1908,2136,2052,2136,2002,2046,2076,2184,2028,2104,2013.2,2121.2
-0.44,1888,2108,2049.33333,2125.33333,1992,2028,2062.66667,2166.66667,2016,2084,2001.6,2102.4
-0.45,1880,2028,2046.66667,2114.66667,1990,2014,2049.33333,2149.33333,2004,2064,1994,2074
-0.46,1872,1948,2044,2104,1988,2000,2036,2132,1998.66667,2053.33333,1987.73333,2047.46667
-0.47,1868,1932,2040,2086,1990.66667,1996,2030,2116,1993.33333,2042.66667,1984.4,2034.53333
-0.48,1864,1916,2036,2068,1993.33333,1992,2024,2100,1988,2032,1981.06667,2021.6
-0.49,1857.33333,1905.33333,2030,2052,1996,1988,2020,2082,1984,2014,1977.46667,2008.26667
-0.5,1850.66667,1894.66667,2024,2036,1996,1978,2016,2064,1980,1996,1973.33333,1993.73333
-0.51,1844,1884,2024,2026,1996,1968,2012,2048,1974,1984,1970,1982
-0.52,1832,1852,2024,2016,2002,1964,2008,2032,1968,1972,1966.8,1967.2
-0.53,1834,1844,2025.33333,2010.66667,2008,1960,2006,2020,1966,1956,1967.86667,1958.13333
-0.54,1836,1836,2026.66667,2005.33333,2016,1960,2004,2008,1964,1940,1969.33333,1949.86667
-0.55,1835.2,1828.8,2028,2000,2024,1960,2003.2,1999.2,1970,1936,1972.08,1944.8
-0.56,1834.4,1821.6,2036,1998,2032,1961.33333,2002.4,1990.4,1976,1932,1976.16,1940.66667
-0.57,1833.6,1814.4,2044,1996,2040,1962.66667,2001.6,1981.6,1980,1928,1979.84,1936.53333
-0.58,1832.8,1807.2,2052,1994,2048,1964,2000.8,1972.8,1984,1924,1983.52,1932.4
-0.59,1832,1800,2060,1992,2064,1966,2000,1964,1988,1920,1988.8,1928.4
-0.6,1838,1796,2072,1994,2080,1968,2008,1962,1994,1920,1998.4,1928
-0.61,1844,1792,2084,1996,2094,1974,2016,1960,2000,1920,2007.6,1928.4
-0.62,1850,1790,2100,2002,2108,1980,2018.66667,1957.33333,2008,1918,2016.93333,1929.46667
-0.63,1856,1788,2116,2008,2126,1988,2021.33333,1954.66667,2016,1916,2027.06667,1930.93333
-0.64,1868,1788,2126.66667,2013.33333,2144,1996,2024,1952,2025.33333,1917.33333,2037.6,1933.33333
-0.65,1880,1788,2137.33333,2018.66667,2152,2000,2034,1950,2034.66667,1918.66667,2047.6,1935.06667
-0.66,1888,1790,2148,2024,2160,2004,2044,1948,2044,1920,2056.8,1937.2
-0.67,1896,1792,2164,2030.4,2168,2008,2054.4,1952,2060,1926,2068.48,1941.68
-0.68,1908,1794,2180,2036.8,2192,2018,2064.8,1956,2076,1932,2084.16,1947.36
-0.69,1920,1796,2196,2043.2,2216,2028,2075.2,1960,2092.8,1939.2,2100,1953.28
-0.7,1932,1798,2212,2049.6,2240,2038,2085.6,1964,2109.6,1946.4,2115.84,1959.2
-0.71,1944,1800,2228,2056,2264,2048,2096,1968,2126.4,1953.6,2131.68,1965.12
-0.72,1958,1808,2252,2064,2277.33333,2054.66667,2116,1976,2143.2,1960.8,2149.30667,1972.69333
-0.73,1972,1816,2276,2072,2290.66667,2061.33333,2136,1984,2160,1968,2166.93333,1980.26667
-0.74,1985.33333,1820,2289.33333,2081.33333,2304,2068,2154,1992,2184,1978,2183.33333,1987.86667
-0.75,1998.66667,1824,2302.66667,2090.66667,2332,2082,2172,2000,2208,1988,2202.66667,1996.93333
-0.76,2012,1828,2316,2100,2360,2096,2194,2014,2236,2004,2223.6,2008.4
-0.77,2030,1838,2340,2112,2392,2228,2216,2028,2264,2020,2248.4,2045.2
-0.78,2048,1848,2364,2124,2424,2360,2240,2038,2280,2030.66667,2271.2,2080.13333
-0.79,2066,1858,2396,2138,2452,2262,2264,2048,2296,2041.33333,2294.8,2069.46667
-0.8,2084,1868,2428,2152,2480,2164,2292,2064,2312,2052,2319.2,2060
-0.81,2106.4,1880,2459,2171,2520,2187,2320,2080,2345,2072,2350.08,2078
-0.82,2128.8,1892,2490,2190,2560,2210,2347,2097,2378,2092,2380.76,2096.2
-0.83,2151.2,1904,2521,2209,2600,2233,2374,2114,2411,2112,2411.44,2114.4
-0.84,2173.6,1916,2552,2228,2640,2256,2401,2131,2444,2132,2442.12,2132.6
-0.85,2196,1928,2588,2252,2682,2280,2428,2148,2486,2154,2476,2152.4
-0.86,2224,1942,2624,2276,2724,2304,2462,2164,2528,2176,2512.4,2172.4
-0.87,2252,1956,2670,2304,2780,2340,2496,2180,2568,2200,2553.2,2196
-0.88,2296,1982,2716,2332,2836,2376,2532,2202,2608,2224,2597.6,2223.2
-0.89,2340,2008,2760,2360,2872,2446.66667,2568,2224,2656,2252,2639.2,2258.13333
-0.9,2382,2028,2804,2388,2908,2517.33333,2596,2241.33333,2704,2280,2678.8,2290.93333
-0.91,2424,2048,2866,2424,2944,2588,2624,2258.66667,2736,2300,2718.8,2323.73333
-0.92,2462.4,2074.4,2928,2460,3012,2556,2652,2276,2768,2320,2764.48,2337.28
-0.93,2500.8,2100.8,2980.8,2493.6,3080,2524,2700,2303,2800,2340,2812.32,2352.28
-0.94,2539.2,2127.2,3033.6,2527.2,3157,2571,2748,2330,2851,2370,2865.76,2385.08
-0.95,2577.6,2153.6,3086.4,2560.8,3234,2618,2796,2357,2902,2400,2919.2,2417.88
-0.96,2616,2180,3139.2,2594.4,3311,2665,2844,2384,2953,2430,2972.64,2450.68
-0.97,2672,2212,3192,2628,3388,2712,2882.66667,2408,3004,2460,3027.73333,2484
-0.98,2728,2244,3254,2670,3464,2760,2921.33333,2432,3076,2502,3088.66667,2521.6
-0.99,2768,2270.66667,3316,2712,3540,2808,2960,2456,3148,2544,3146.4,2558.13333
-1,2808,2297.33333,3402,2764,3606.66667,2848,3024,2496,3218,2586,3211.73333,2598.26667
-1.01,2848,2324,3488,2816,3673.33333,2888,3088,2536,3288,2628,3277.06667,2638.4
-1.02,2924,2366,3541.33333,2852,3740,2928,3158,2580,3362,2676,3345.06667,2680.4
-1.03,3000,2408,3594.66667,2888,3844,3088,3228,2624,3436,2724,3420.53333,2746.4
-1.04,3076,2454,3648,2924,3948,3248,3292,2664,3496,2762.66667,3492,2810.53333
-1.05,3152,2500,3742,2976,4038.66667,3236,3356,2704,3556,2801.33333,3568.93333,2843.46667
-1.06,3116,2376,2698,2050,2896,2192,2836,2148,2048,1572,2718.8,2067.6
