x,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
4.3,219.3,225.75,201.276596,203.106383,200.361702,206.765957,719.862069,1464.5977,208.595745,208.595745,309.879222,461.763157
4.4,224.4,231,205.957447,207.829787,205.021277,211.574468,721.310345,1460.98851,213.446809,213.446809,314.027175,464.967914
4.5,229.5,236.25,210.638298,212.553191,209.680851,216.382979,722.758621,1457.37931,218.297872,218.297872,318.175128,468.172671
4.6,234.6,241.5,215.319149,217.276596,214.340426,221.191489,724.206897,1453.77011,223.148936,223.148936,322.323081,471.377427
4.7,239.7,246.75,220,222,219,226,725.655172,1450.16092,228,228,326.471034,474.582184
4.8,244.8,252,224.680851,226.723404,223.659574,230.808511,727.103448,1446.55172,232.851064,232.851064,330.618988,477.786941
4.9,249.9,257.25,229.361702,231.446809,228.319149,235.617021,728.551724,1442.94253,237.702128,237.702128,334.766941,480.991697
5,255,262.5,234.042553,236.170213,232.978723,240.425532,730,1439.33333,242.553191,242.553191,338.914894,484.196454
5.1,260.1,267.75,238.723404,240.893617,237.638298,245.234043,731.448276,1435.72414,247.404255,247.404255,343.062847,487.401211
5.2,265.2,273,243.404255,245.617021,242.297872,250.042553,732.896552,1432.11494,252.255319,252.255319,347.2108,490.605967
5.3,270.3,278.25,248.085106,250.340426,246.957447,254.851064,734.344828,1428.50575,257.106383,257.106383,351.358753,493.810724
5.4,275.4,283.5,252.765957,255.06383,251.617021,259.659574,735.793103,1424.89655,261.957447,261.957447,355.506706,497.015481
5.5,280.5,288.75,257.446809,259.787234,256.276596,264.468085,737.241379,1421.28736,266.808511,266.808511,359.654659,500.220237
5.6,285.6,294,262.12766,264.510638,260.93617,269.276596,738.689655,1417.67816,271.659574,271.659574,363.802612,503.424994
5.7,290.7,299.25,266.808511,269.234043,265.595745,274.085106,740.137931,1414.06897,276.510638,276.510638,367.950565,506.629751
5.8,295.8,304.5,271.489362,273.957447,270.255319,278.893617,741.586207,1410.45977,281.361702,281.361702,372.098518,509.834507
5.9,300.9,309.75,276.170213,278.680851,274.914894,283.702128,743.034483,1406.85057,286.212766,286.212766,376.246471,513.039264
6,306,315,280.851064,283.404255,279.574468,288.510638,744.482759,1403.24138,291.06383,291.06383,380.394424,516.244021
6.1,311.1,320.25,285.531915,288.12766,284.234043,293.319149,745.931034,1399.63218,295.914894,295.914894,384.542377,519.448777
6.2,316.2,325.5,290.212766,292.851064,288.893617,298.12766,747.37931,1396.02299,300.765957,300.765957,388.69033,522.653534
6.3,321.3,330.75,294.893617,297.574468,293.553191,302.93617,748.827586,1392.41379,305.617021,305.617021,392.838283,525.858291
6.4,326.4,336,299.574468,302.297872,298.212766,307.744681,750.275862,1388.8046,310.468085,310.468085,396.986236,529.063047
6.5,331.5,341.25,304.255319,307.021277,302.87234,312.553191,751.724138,1385.1954,315.319149,315.319149,401.134189,532.267804
6.6,336.6,346.5,308.93617,311.744681,307.531915,317.361702,753.172414,1381.58621,320.170213,320.170213,405.282142,535.472561
6.7,341.7,351.75,313.617021,316.468085,312.191489,322.170213,754.62069,1377.97701,325.021277,325.021277,409.430095,538.677317
6.8,346.8,357,318.297872,321.191489,316.851064,326.978723,756.068966,1374.36782,329.87234,329.87234,413.578048,541.882074
6.9,351.9,362.25,322.978723,325.914894,321.510638,331.787234,757.517241,1370.75862,334.723404,334.723404,417.726001,545.086831
7,357,367.5,327.659574,330.638298,326.170213,336.595745,758.965517,1367.14943,339.574468,339.574468,421.873955,548.291587
7.1,362.1,372.75,332.340426,335.361702,330.829787,341.404255,760.413793,1363.54023,344.425532,344.425532,426.021908,551.496344
7.2,367.2,378,337.021277,340.085106,335.489362,346.212766,761.862069,1359.93103,349.276596,349.276596,430.169861,554.701101
7.3,372.3,383.25,341.702128,344.808511,340.148936,351.021277,763.310345,1356.32184,354.12766,354.12766,434.317814,557.905857
7.4,377.4,388.5,346.382979,349.531915,344.808511,355.829787,764.758621,1352.71264,358.978723,358.978723,438.465767,561.110614
7.5,382.5,393.75,351.06383,354.255319,349.468085,360.638298,766.206897,1349.10345,363.829787,363.829787,442.61372,564.315371
7.6,387.6,399,355.744681,358.978723,354.12766,365.446809,767.655172,1345.49425,368.680851,368.680851,446.761673,567.520127
7.7,392.7,404.25,360.425532,363.702128,358.787234,370.255319,769.103448,1341.88506,373.531915,373.531915,450.909626,570.724884
7.8,397.8,409.5,365.106383,368.425532,363.446809,375.06383,770.551724,1338.27586,378.382979,378.382979,455.057579,573.92964
7.9,402.9,414.75,369.787234,373.148936,368.106383,379.87234,772,1334.66667,383.234043,383.234043,459.205532,577.134397
