theta,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
0,2168,2692,2200,2728,2092,2596,2268,2796,2176,2780,2180.8,2718.4
-0.01,2140,2664,2144,2700,2052,2560,2228,2772,2128,2764,2138.4,2692
-0.02,2128,2648,2138,2686,2036,2532,2208,2724,2116,2740,2125.2,2666
-0.03,2108,2612,2132,2672,2020,2504,2124,2612,2070,2660,2090.8,2612
-0.04,2076,2568,2092,2608,1960,2392,2078,2554,2024,2580,2046,2540.4
-0.05,2044,2524,2052,2544,1934.66667,2360,2032,2496,1986,2522,2009.73333,2489.2
-0.06,2018,2470,2014,2494,1909.33333,2328,1988,2436,1948,2464,1975.46667,2438.4
-0.07,1992,2416,1976,2444,1884,2296,1944,2376,1900,2396,1939.2,2385.6
-0.08,1958,2370,1936,2380,1846,2244,1904,2316,1852,2328,1899.2,2327.6
-0.09,1924,2324,1896,2316,1808,2192,1864,2256,1816,2272,1861.6,2272
-0.1,1888,2274,1862,2264,1780,2144,1832,2206,1780,2216,1828.4,2220.8
-0.11,1852,2224,1828,2212,1752,2096,1800,2156,1738,2158,1794,2169.2
-0.12,1824,2182,1788,2158,1712,2050,1764,2112,1696,2100,1756.8,2120.4
-0.13,1796,2140,1748,2104,1672,2004,1728,2068,1664,2052,1721.6,2073.6
-0.14,1778,2100,1718,2056,1644,1960,1704,2020,1632,2004,1695.2,2028
-0.15,1760,2060,1688,2008,1616,1916,1680,1972,1602,1958,1669.2,1982.8
-0.16,1736,2028,1658,1964,1596,1874,1656,1938,1572,1912,1643.6,1943.2
-0.17,1712,1996,1628,1920,1576,1832,1632,1904,1540,1868,1617.6,1904
-0.18,1686,1958,1606,1880,1546,1794,1613.33333,1877.33333,1508,1824,1591.86667,1866.66667
-0.19,1660,1920,1584,1840,1516,1756,1594.66667,1850.66667,1482,1782,1567.33333,1829.73333
-0.2,1640,1890,1550,1800,1497.33333,1729.33333,1576,1824,1456,1740,1543.86667,1796.66667
-0.21,1620,1860,1516,1760,1478.66667,1702.66667,1558,1792,1434,1706,1521.33333,1764.13333
-0.22,1609.33333,1837.33333,1498,1730,1460,1676,1540,1760,1412,1672,1503.86667,1735.06667
-0.23,1598.66667,1814.66667,1480,1700,1440,1646,1524,1730,1396,1649.33333,1487.73333,1708
-0.24,1588,1792,1468,1676,1420,1616,1508,1700,1380,1626.66667,1472.8,1682.13333
-0.25,1576,1766,1456,1652,1413.33333,1600,1498.66667,1682.66667,1364,1604,1461.6,1660.93333
-0.26,1564,1740,1444,1628,1406.66667,1584,1489.33333,1665.33333,1346,1574,1450,1638.26667
-0.27,1546,1712,1432,1604,1400,1568,1480,1648,1328,1544,1437.2,1615.2
-0.28,1528,1684,1420,1580,1384,1542,1468,1622,1308,1516,1421.6,1588.8
