theta,6cm_Left_avg,6cm_Right_avg,7cm_Left_avg,7cm_Right_avg,8cm_Left_avg,8cm_Right_avg,9cm_Left_avg,9cm_Right_avg,10cm_Left_avg,19cm_Right_avg,11cm_Left_avg,11cm_Right_avg
-0.69,896.4,785.8,1452.10667,1315.76,2100,1953.28,3196.08,3008.08,4701.16,4505.6,6740.6,6341.6
-0.7,908.8,783.2,1465.41333,1321.8,2115.84,1959.2,3215.48,3021.32,4715.24,4517.6,6772.6,6366.4
-0.71,921.2,780.6,1478.72,1327.84,2131.68,1965.12,3234.88,3034.56,4729.32,4529.6,6804.6,6391.2
-0.72,934.933333,781.333333,1493.73333,1334.93333,2149.30667,1972.69333,3257.76,3035.76,4758.4,4537.6,6830.4,6443.6
-0.73,948.666667,787.866667,1508.66667,1343.46667,2166.93333,1980.26667,3283.2,3038.8,4804.8,4556,6858.4,6500
-0.74,962.266667,795.066667,1524,1353.6,2183.33333,1987.86667,3305.6,3055.86667,4861.33333,4569.2,6907.6,6540.66667
-0.75,977.6,801.733333,1542.66667,1363.73333,2202.66667,1996.93333,3329.6,3073.33333,4919.06667,4594,6955.2,6572.93333
-0.76,992.266667,808,1561.2,1373.73333,2223.6,2008.4,3355.2,3091.2,4957.33333,4638.13333,7017.86667,6595.73333
-0.77,1009.06667,820,1580.13333,1384.53333,2248.4,2045.2,3389.6,3109.6,4985.46667,4690.4,7104.13333,6609.06667
-0.78,1025.6,842,1600.93333,1395.06667,2271.2,2080.13333,3425.2,3128.8,5029.6,4739.06667,7184.53333,6611.2
-0.79,1041.2,854.4,1626.26667,1406.53333,2294.8,2069.46667,3464.66667,3145.73333,5087.2,4804,7223.06667,6681.6
-0.8,1059.6,850,1648.24,1418.48,2319.2,2060,3503.33333,3163.46667,5148,4829.92,7261.6,6752
-0.81,1079.12,851.6,1670.96,1432.04,2350.08,2078,3540.4,3197.8,5206.2,4842.48,7348.72,6797.72
-0.82,1097.33333,861.493333,1693.54667,1444.4,2380.76,2096.2,3583,3235.2,5258.2,4863.04,7435.84,6843.44
-0.83,1115.54667,871.386667,1716.13333,1456.76,2411.44,2114.4,3625.6,3272.6,5310.2,4883.6,7522.96,6889.16
-0.84,1133.76,881.28,1738.72,1469.12,2442.12,2132.6,3668.2,3310,5362.2,4904.16,7610.08,6934.88
-0.85,1159.44,897.04,1772.4,1487.2,2476,2152.4,3726.8,3316.8,5437.6,4943.2,7710,6985.6
-0.86,1184.93333,914.133333,1800.26667,1502.93333,2512.4,2172.4,3788.8,3325.6,5558.26667,4979.06667,7875.6,7046.4
-0.87,1205.86667,926.8,1830.93333,1521.06667,2553.2,2196,3893.6,3360.4,5682.93333,5023.33333,7978.53333,7099.6
-0.88,1228.4,939.466667,1865.2,1541.2,2597.6,2223.2,3990.66667,3390.66667,5801.33333,5055.46667,8067.46667,7167.2
-0.89,1254,954.8,1898.53333,1563.06667,2639.2,2258.13333,4000.53333,3426.8,5811.06667,5100.53333,8203.73333,7238.4
-0.9,1284.8,974.4,1928.53333,1583.73333,2678.8,2290.93333,4010.4,3462.93333,5832.4,5147.6,8375.86667,7382.8
-0.91,1315.06667,992.8,1965.33333,1604.4,2718.8,2323.73333,4037.06667,3532.8,5932.4,5213.33333,8560,7494.8
-0.92,1346.13333,1012.4,2003.6,1627.2,2764.48,2337.28,4104.53333,3607.2,6027.2,5284.10667,8723.68,7553.6
-0.93,1377.8,1031.8,2043.08,1653.24,2812.32,2352.28,4173.72,3626.68,6127.36,5332.8,8868,7649.6
-0.94,1410.14667,1051.72,2084.08,1678.64,2865.76,2385.08,4251.24,3660.76,6231.92,5394.56,9003.78667,7754.13333
-0.95,1442.49333,1071.64,2125.08,1704.04,2919.2,2417.88,4328.76,3694.84,6336.48,5456.32,9139.57333,7858.66667
-0.96,1474.84,1091.56,2166.08,1729.44,2972.64,2450.68,4406.28,3728.92,6441.04,5518.08,9275.36,7963.2
-0.97,1509.12,1113.68,2206.34667,1754.37333,3027.73333,2484,4482.8,3762.8,6545.06667,5578.66667,9478.8,8069.46667
-0.98,1542.8,1134.66667,2255.73333,1782.26667,3088.66667,2521.6,4576,3817.86667,6676.13333,5650.26667,9716,8153.33333
-0.99,1579.86667,1157.33333,2306,1813.6,3146.4,2558.13333,4652.13333,3860.26667,6807.2,5721.86667,9938.26667,8257.2
-1,1616.53333,1181.2,2362.4,1852,3211.73333,2598.26667,4730.26667,3904,6934.26667,5812,10203.7333,8406
-1.01,1658.13333,1214.53333,2425.6,1891.6,3277.06667,2638.4,4814.4,3958.13333,7052.53333,5936.4,10453.0667,8548.26667
-1.02,1707.06667,1250.26667,2478.4,1922.66667,3345.06667,2680.4,4914,4020.13333,7206.13333,6004,10732.5333,8699.46667
-1.03,1752.4,1266.26667,2526,1950.26667,3420.53333,2746.4,5029.2,4084,7402.26667,6074.8,11012,8850.66667
-1.04,1793.73333,1283.86667,2573.6,1977.86667,3492,2810.53333,5135.46667,4150.66667,7589.6,6178.4,11236.6667,9031.86667
-1.05,1835.06667,1311.86667,2644.4,2020.4,3568.93333,2843.46667,5249.73333,4227.73333,7773.6,6334.8,11544.1333,9238.53333
,,,2718.8,2067.6,2718.8,2067.6,5361.6,4304.4,7959.2,6486,12091,9600
,,,,,,,4760,3884,4760,3884,4760,3884
