theta,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
-0.64,3120,2966,2972,2872,3101.33333,2957.33333,3388,3232,2954.66667,2844,3107.2,2974.26667
-0.65,3136,2964,2980,2868,3112,2964,3414,3238,2964,2848,3121.2,2976.4
-0.66,3152,2972,2988,2864,3134,2964,3440,3244,2980,2842,3138.8,2977.2
-0.67,3168,2980,3002,2870,3156,2964,3461.6,3255.2,2996,2836,3156.72,2981.04
-0.68,3187.2,2988.8,3016,2876,3184,2979,3483.2,3266.4,3013,2864,3176.68,2994.84
-0.69,3206.4,2997.6,3027.2,2879.2,3212,2994,3504.8,3277.6,3030,2892,3196.08,3008.08
-0.7,3225.6,3006.4,3038.4,2882.4,3240,3009,3526.4,3288.8,3047,2920,3215.48,3021.32
-0.71,3244.8,3015.2,3049.6,2885.6,3268,3024,3548,3300,3064,2948,3234.88,3034.56
-0.72,3264,3024,3060.8,2888.8,3300,3042,3574,3314,3090,2910,3257.76,3035.76
-0.73,3296,3042,3072,2892,3332,3060,3600,3328,3116,2872,3283.2,3038.8
-0.74,3328,3060,3092,2902,3356,3077.33333,3622.66667,3334.66667,3129.33333,2905.33333,3305.6,3055.86667
-0.75,3368,3080,3112,2912,3380,3094.66667,3645.33333,3341.33333,3142.66667,2938.66667,3329.6,3073.33333
-0.76,3408,3100,3140,2924,3404,3112,3668,3348,3156,2972,3355.2,3091.2
-0.77,3450,3126,3168,2936,3440,3126,3704,3376,3186,2984,3389.6,3109.6
-0.78,3492,3152,3202,2952,3476,3140,3740,3404,3216,2996,3425.2,3128.8
-0.79,3525.33333,3170.66667,3236,2968,3518,3164,3784,3434,3260,2992,3464.66667,3145.73333
-0.8,3558.66667,3189.33333,3266,2988,3560,3188,3828,3464,3304,2988,3503.33333,3163.46667
-0.81,3592,3208,3296,3008,3610,3219,3875,3538,3329,3016,3540.4,3197.8
-0.82,3643,3238,3336,3032,3660,3250,3922,3612,3354,3044,3583,3235.2
-0.83,3694,3268,3376,3056,3710,3281,3969,3686,3379,3072,3625.6,3272.6
-0.84,3745,3298,3416,3080,3760,3312,4016,3760,3404,3100,3668.2,3310
-0.85,3796,3328,3456,3104,3818,3346,4092,3684,3472,3122,3726.8,3316.8
-0.86,3860,3366,3500,3130,3876,3380,4168,3608,3540,3144,3788.8,3325.6
-0.87,3924,3404,3544,3156,4200,3424,4194,3650,3606,3168,3893.6,3360.4
-0.88,3961.33333,3429.33333,3576,3172,4524,3468,4220,3692,3672,3192,3990.66667,3390.66667
-0.89,3998.66667,3454.66667,3608,3188,4396,3493.33333,4306,3734,3694,3264,4000.53333,3426.8
-0.9,4036,3480,3640,3204,4268,3518.66667,4392,3776,3716,3336,4010.4,3462.93333
-0.91,4108,3724,3696,3234,4140,3544,4468,3826,3773.33333,3336,4037.06667,3532.8
-0.92,4180,3968,3752,3264,4216,3592,4544,3876,3830.66667,3336,4104.53333,3607.2
-0.93,4251.2,3932,3815,3303,4292,3640,4622.4,3922.4,3888,3336,4173.72,3626.68
-0.94,4322.4,3896,3878,3342,4382,3692,4700.8,3968.8,3973,3405,4251.24,3660.76
-0.95,4393.6,3860,3941,3381,4472,3744,4779.2,4015.2,4058,3474,4328.76,3694.84
